,0,1,2,3,4,5,6,7,Y
0,0.4370413,0.070084274,0.6250321,1.0,0.5589293,0.18148522,0.43965277,0.65781415,0.391851413
1,0.76383513,0.09157343,0.12540752,0.5138086,0.49457362,0.31147176,0.21441786,0.58782613,0.408299176
2,1.0,1.0,1.0,0.55371225,0.0,0.25758964,0.34611934,0.17207465,0.56159591
3,0.079269975,0.38628983,0.38561404,0.30131182,0.27592754,0.34747338,0.16042936,0.45239732,0.539876905
4,0.65507865,0.055340618,0.30188435,0.20889407,0.13893095,0.3238132,0.19152716,0.4987927,0.444751803
5,0.2540208,0.14307508,0.80000484,0.48413664,0.6124456,0.12932897,0.6217345,0.5537662,0.473801835
6,0.10224205,0.36022776,0.48099464,0.097939566,0.7964301,0.13077961,0.68784976,0.39672288,0.611451923
7,0.0,0.60375893,0.2061232,0.0,0.4075567,0.24542561,0.40539083,0.0,0.577422156
8,0.8794184,0.33804053,0.23613691,0.21161659,0.40175965,0.16717786,0.5171571,0.33538026,0.477035769
9,0.2743558,0.11828172,0.8050895,0.45567542,0.6336298,0.15415363,0.5778459,0.5241553,0.399517587
10,0.17779441,0.20036548,0.6718583,0.27021888,0.50970453,0.2410132,0.46033797,0.36978662,0.471538496
11,0.14997292,0.22891656,0.6565677,0.1487867,0.41186827,0.3201269,0.29607394,0.43849772,0.52740898
12,0.5403532,0.0,0.4589529,0.82504606,0.561951,0.18292433,0.4502777,0.6133491,0.398706992
13,0.052111924,0.4772957,0.28919345,0.24845245,0.4196442,0.38223934,0.04025796,0.35733703,0.541479087
14,0.77607787,0.14014855,0.1497396,0.06826724,0.15778443,0.33956283,0.20945446,0.4011114,0.428066106
15,0.9019556,0.4457209,0.333979,0.057957932,0.7902522,0.22472578,0.3539619,0.41915855,0.453543
16,0.8177192,0.21335897,0.16777474,0.22644365,0.03863573,0.24551505,0.3469683,0.45294258,0.422187668
17,0.81488,0.22889072,0.19711244,0.116104245,0.6755938,0.31871414,0.2632383,0.35833472,0.445847474
18,0.038840085,0.55919194,0.2829991,0.19075385,0.36617178,0.15927352,0.5686742,0.36844704,0.607061549
19,0.03677851,0.52211,0.3071299,0.25609088,0.45144966,0.3384691,0.18368834,0.53732365,0.523832569
20,0.9440994,0.60461426,0.47004995,0.22714368,0.5197793,0.6639563,1.0,0.5364522,0.488746158
21,0.0075652003,0.75992477,0.05022341,0.61056364,0.37601134,0.360321,0.0956144,0.7210022,0.537957435
22,0.004115522,0.7992021,0.0,0.79810584,0.39547595,0.13840283,0.47608197,1.0,0.510458584
23,0.07413939,0.34057745,0.46557742,0.10147849,0.55137056,0.30116695,0.49727333,0.37111348,0.632077809
24,0.10246807,0.33076805,0.50643,0.14773053,0.34926945,0.37619406,0.21925567,0.3011049,0.51484885
25,0.14126173,0.24288064,0.684013,0.1872528,0.5397788,0.12706576,0.657611,0.39497498,0.558421241
26,0.99237406,0.9575776,0.97688794,0.27839434,0.57573164,0.23786171,0.3245305,0.30580083,0.447838394
27,0.7363548,0.058882594,0.11962882,0.6188141,0.5807192,0.2899165,0.23913689,0.59902275,0.436296474
28,0.5563042,0.01222229,0.42354777,0.41298097,0.2934589,0.3517241,0.15878578,0.5512427,0.427123066
29,0.8825309,0.38071162,0.3089662,0.05269611,1.0,0.28632247,0.28135717,0.39656854,0.437542359
30,0.33908573,0.07752283,0.7317567,0.18808642,0.0062027574,0.47969604,0.0,0.42355567,0.487041742
31,0.23799144,0.13198392,0.783769,0.054599613,0.4089049,1.0,0.95669746,0.47502565,0.504718666
32,0.48904428,0.007259041,0.4928138,0.06550342,0.13367596,0.3891235,0.06856179,0.4920518,0.441373217
33,0.22404537,0.14954601,0.7443869,0.4058141,0.5027355,0.0,0.91237855,0.41178337,0.438193787
34,0.124984294,0.26017064,0.5867767,0.21970412,0.5520008,0.16889036,0.64506954,0.46188125,0.564212088
